name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	label	side	soz	bad	resection	type_y	non-epileptic
A1-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	lingual	L	0	0	0	s	1.0
A2-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	cuneus	L	0	0	0	s	1.0
A3-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precuneus	L	0	0	0	s	1.0
A4-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	isthmuscingulate	L	0	0	0	s	1.0
A5-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	isthmuscingulate	L	0	0	0	s	1.0
A6-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	L	0	1	0	s	1.0
A7-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	paracentral	L	0	0	0	s	1.0
A8-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiorfrontal	L	0	0	0	s	1.0
A9-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiorfrontal	L	0	0	0	s	1.0
A10-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiorfrontal	L	0	0	0	s	1.0
A11-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	L	0	1	1	s	n/a
A12-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	medialorbitofrontal	L	0	0	1	s	n/a
A13-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralanteriorcingulate	L	0	0	1	s	n/a
A14-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiorfrontal	L	0	0	1	s	n/a
A15-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiorfrontal	L	0	0	0	s	1.0
A16-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	L	0	1	0	s	1.0
A17-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A18-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A19-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A20-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A21-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A22-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A23-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A24-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiorfrontal	L	0	0	1	s	n/a
A25-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiorfrontal	L	0	0	1	s	n/a
A26-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiorfrontal	L	0	0	1	s	n/a
A27-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	lateralorbitofrontal	L	0	0	1	s	n/a
A28-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsorbitalis	L	0	0	1	s	n/a
A29-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsorbitalis	L	0	0	1	s	n/a
A30-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsorbitalis	L	1	0	1	s	n/a
A31-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	1	s	n/a
A32-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A33-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	1	s	n/a
A34-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsorbitalis	L	0	0	1	s	n/a
A35-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	1	s	n/a
A36-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	1	s	n/a
A37-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	lateralorbitofrontal	R	0	0	0	s	1.0
A38-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	lateralorbitofrontal	R	0	0	0	s	1.0
A39-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	medialorbitofrontal	R	0	0	0	s	1.0
A40-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	medialorbitofrontal	L	0	0	1	s	n/a
A41-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	lateralorbitofrontal	L	0	0	1	s	n/a
A42-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	lateralorbitofrontal	L	0	0	1	s	n/a
A43-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	fusiform	L	0	0	0	s	1.0
A44-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	fusiform	L	0	0	0	s	1.0
A45-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	fusiform	L	0	0	0	s	1.0
A46-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parahippocampal	L	0	0	0	s	1.0
A47-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parahippocampal	L	0	0	0	s	1.0
A48-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	entorhinal	L	0	0	0	s	1.0
A49-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	entorhinal	L	0	0	0	s	1.0
A50-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	entorhinal	L	0	0	0	s	1.0
A51-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	temporalpole	L	0	0	0	s	1.0
A52-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	temporalpole	L	0	0	0	s	1.0
A53-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	entorhinal	L	0	0	0	s	1.0
A54-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	fusiform	L	0	0	0	s	1.0
A55-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	L	0	1	0	s	1.0
A56-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	inferiortemporal	L	0	0	0	s	1.0
A57-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	inferiortemporal	L	0	0	0	s	1.0
A58-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	middletemporal	L	0	0	0	s	1.0
B1-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	middletemporal	L	1	0	1	s	n/a
B2-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiortemporal	L	1	0	1	s	n/a
B3-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiortemporal	L	1	0	1	s	n/a
B4-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiortemporal	L	0	0	0	s	1.0
B5-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsopercularis	L	0	0	0	s	1.0
B6-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	0	s	1.0
B7-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	0	s	1.0
B8-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	0	s	1.0
B9-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiortemporal	L	0	0	1	s	n/a
B10-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiortemporal	L	1	0	1	s	n/a
B11-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiortemporal	L	1	0	1	s	n/a
B12-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	1	0	1	s	n/a
B13-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsopercularis	L	0	0	0	s	1.0
B14-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	0	s	1.0
B15-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	0	s	1.0
B16-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	0	s	1.0
B17-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	superiortemporal	L	0	0	1	s	n/a
B18-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	0	0	1	s	n/a
B19-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	1	0	1	s	n/a
B20-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	1	0	1	s	n/a
B21-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsopercularis	L	0	0	0	s	1.0
B22-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsopercularis	L	0	0	0	s	1.0
B23-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parstriangularis	L	0	0	0	s	1.0
B24-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B25-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	supramarginal	L	0	0	1	s	n/a
B26-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	0	0	1	s	n/a
B27-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	1	0	1	s	n/a
B28-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	1	0	1	s	n/a
B29-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsopercularis	L	0	0	0	s	1.0
B30-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B31-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B32-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B33-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	0	0	1	s	n/a
B34-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	0	0	1	s	n/a
B35-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	0	0	1	s	n/a
B36-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	0	0	0	s	1.0
B37-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	parsopercularis	L	0	0	0	s	1.0
B38-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B39-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B40-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B41-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	0	0	1	s	n/a
B42-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	0	0	1	s	n/a
B43-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	0	0	1	s	n/a
B44-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	0	0	0	s	1.0
B45-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	caudalmiddlefrontal	L	0	0	0	s	1.0
B46-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B47-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	rostralmiddlefrontal	L	0	0	0	s	1.0
B48-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	L	0	1	0	s	1.0
B49-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	postcentral	L	0	0	0	s	1.0
B50-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	0	0	0	s	1.0
B51-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	precentral	L	0	0	0	s	1.0
B52-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	caudalmiddlefrontal	L	0	0	0	s	1.0
B53-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	caudalmiddlefrontal	L	0	0	0	s	1.0
B54-AV	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	caudalmiddlefrontal	L	0	0	0	s	1.0
